iter	Passed	Remaining
478	580	630
479	580	629
480	581	627
481	581	625
482	582	623
483	583	621
484	583	619
485	584	617
486	584	616
487	585	614
488	586	612
489	586	610
490	587	608
491	588	607
492	588	605
493	589	603
494	589	601
495	590	600
496	591	598
497	591	596
498	592	595
499	593	593
500	594	592
501	595	590
502	595	588
503	596	586
504	596	585
505	597	583
506	598	581
507	598	579
508	599	578
509	599	576
510	600	574
511	601	572
512	601	571
513	602	569
514	602	567
515	603	566
516	604	564
517	604	562
518	605	560
519	605	559
520	606	557
521	607	556
522	608	555
523	609	553
524	609	551
525	610	550
526	610	548
527	611	546
528	612	545
529	612	543
530	613	541
531	613	540
532	614	538
533	615	536
534	615	535
535	616	533
536	617	532
537	617	530
538	618	528
539	618	527
540	619	525
541	620	523
542	620	522
543	621	521
544	622	520
545	623	518
546	624	516
547	624	515
548	625	513
549	625	512
550	626	510
551	627	508
552	627	507
553	628	505
554	628	504
555	629	502
556	630	501
557	631	499
558	631	498
559	632	496
560	633	495
561	633	493
562	634	492
563	635	490
564	635	489
565	636	488
566	637	487
567	638	485
568	639	484
569	640	482
570	640	481
571	641	480
572	642	478
573	643	477
574	643	475
575	644	474
576	645	473
577	645	471
578	646	470
579	647	468
580	648	467
581	648	465
582	649	464
583	649	462
584	650	461
585	652	460
586	652	459
587	653	458
588	654	456
589	655	455
590	655	453
591	656	452
592	657	451
593	657	449
594	658	448
595	659	446
596	659	445
597	660	444
598	661	442
599	661	441
600	662	439
601	663	438
602	663	437
603	664	435
604	665	434
605	666	433
606	667	432
607	668	431
608	669	430
609	670	428
610	672	428
611	673	426
612	674	425
613	675	424
614	676	423
615	677	422
616	678	420
617	679	419
618	679	418
619	681	417
620	682	416
621	682	415
622	683	413
623	684	412
624	684	410
625	685	409
626	686	408
627	686	406
628	687	405
629	688	404
630	688	402
631	689	401
632	689	399
633	690	398
634	690	397
635	691	395
636	692	394
637	692	393
638	693	391
639	693	390
640	694	388
641	695	387
642	696	386
643	697	385
644	698	384
645	698	382
646	699	381
647	700	380
648	700	379
649	701	377
650	702	376
651	703	375
652	703	374
653	704	372
654	705	371
655	705	370
656	706	368
657	707	367
658	707	366
659	708	364
660	709	363
661	711	363
662	712	362
663	713	360
664	714	359
665	714	358
666	715	357
667	716	356
668	717	354
669	717	353
670	718	352
671	719	350
672	719	349
673	720	348
674	721	347
675	721	346
676	722	344
677	723	343
678	724	342
679	726	341
680	726	340
681	728	339
682	729	338
683	729	337
684	730	336
685	731	335
686	732	333
687	733	332
688	734	331
689	735	330
690	735	329
691	737	328
692	737	326
693	738	325
694	742	325
695	742	324
696	743	323
697	744	322
698	746	321
699	747	320
700	747	318
701	748	317
702	749	316
703	750	315
704	751	314
705	752	313
706	752	311
707	753	310
708	755	310
709	757	309
710	758	308
711	759	307
712	759	305
713	760	304
714	761	303
715	762	302
716	763	301
717	763	300
718	764	298
719	765	297
720	766	296
721	766	295
722	767	294
723	769	293
724	770	292
725	771	291
726	772	290
727	773	288
728	774	287
729	775	286
730	775	285
731	776	284
732	777	283
733	778	282
734	779	280
735	780	279
736	781	278
737	782	277
738	783	276
739	785	275
740	786	274
741	786	273
742	787	272
743	788	271
744	790	270
745	790	269
746	791	268
747	792	267
748	793	265
749	794	264
750	795	263
751	796	262
752	797	261
753	799	260
754	800	259
755	800	258
756	801	257
757	802	256
758	802	254
759	803	253
760	804	252
761	805	251
762	806	250
763	807	249
764	807	248
765	808	247
766	809	245
767	810	244
768	811	243
769	812	242
770	814	241
771	815	240
772	815	239
773	816	238
774	817	237
775	818	236
776	818	234
777	819	233
778	820	232
779	821	231
780	821	230
781	822	229
782	823	228
783	823	227
784	824	225
785	825	224
786	826	223
787	827	222
788	829	221
789	830	220
790	831	219
791	832	218
792	833	217
793	833	216
794	834	215
795	836	214
796	851	216
797	853	215
798	854	215
799	856	214
800	857	213
801	859	212
802	861	211
803	862	210
804	863	209
805	864	207
806	864	206
807	865	205
808	866	204
809	867	203
810	868	202
811	869	201
812	872	200
813	874	199
814	876	198
815	877	197
816	878	196
817	879	195
818	881	194
819	882	193
820	883	192
821	887	192
822	888	191
823	888	189
824	890	188
825	891	187
826	892	186
827	893	185
828	894	184
829	895	183
830	896	182
831	897	181
832	898	180
833	901	179
834	902	178
835	904	177
836	906	176
837	907	175
838	910	174
839	912	173
840	913	172
841	914	171
842	916	170
843	918	169
844	919	168
845	920	167
846	921	166
847	922	165
848	925	164
849	926	163
850	927	162
851	928	161
852	932	160
853	937	160
854	938	159
855	938	157
856	939	156
857	941	155
858	943	154
859	944	153
860	946	152
861	947	151
862	949	150
863	950	149
864	951	148
865	952	147
866	953	146
867	955	145
868	958	144
869	963	144
870	965	142
871	966	141
872	967	140
873	968	139
874	972	138
875	973	137
876	974	136
877	975	135
878	977	134
879	986	134
880	987	133
881	990	132
882	992	131
883	993	130
884	994	129
885	995	128
886	996	126
887	997	125
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1007	119
894	1008	118
895	1009	117
896	1010	115
897	1011	114
898	1012	113
899	1013	112
900	1014	111
901	1016	110
902	1017	109
903	1018	108
904	1022	107
905	1024	106
906	1025	105
907	1027	104
908	1028	102
909	1031	102
910	1033	100
911	1037	100
912	1039	99
913	1040	97
914	1041	96
915	1042	95
916	1043	94
917	1044	93
918	1045	92
919	1046	91
920	1047	89
921	1048	88
922	1051	87
923	1052	86
924	1053	85
925	1054	84
926	1055	83
927	1056	81
928	1057	80
929	1057	79
930	1058	78
